      Address        Name         Hex         Decimal                       Binary                       Char  
0694              RPINR10   0x3F3F        16191         00111111 00111111                             '??'     
0696              RPINR11   0x3F3F        16191         00111111 00111111                             '??'     
069E              RPINR15   0x3F00        16128         00111111 00000000                             '?.'     
06A2              RPINR17   0x3F00        16128         00111111 00000000                             '?.'     
06A4              RPINR18   0x3F3F        16191         00111111 00111111                             '??'     
06A6              RPINR19   0x3F3F        16191         00111111 00111111                             '??'     
06A8              RPINR20   0x3F3F        16191         00111111 00111111                             '??'     
06AA              RPINR21   0x3F3F        16191         00111111 00111111                             '??'     
06AC              RPINR22   0x3F3F        16191         00111111 00111111                             '??'     
06AE              RPINR23   0x003F        63            00000000 00111111                             '.?'     
06B6              RPINR27   0x3F3F        16191         00111111 00111111                             '??'     
06B8              RPINR28   0x3F3F        16191         00111111 00111111                             '??'     
06BA              RPINR29   0x003F        63            00000000 00111111                             '.?'     
06C0              RPOR0     0x0000        0             00000000 00000000                             '..'     
06C2              RPOR1     0x0000        0             00000000 00000000                             '..'     
06C4              RPOR2     0x0000        0             00000000 00000000                             '..'     
06C6              RPOR3     0x0000        0             00000000 00000000                             '..'     
06C8              RPOR4     0x0000        0             00000000 00000000                             '..'     
06CA              RPOR5     0x0000        0             00000000 00000000                             '..'     
06CC              RPOR6     0x0000        0             00000000 00000000                             '..'     
06CE              RPOR7     0x0000        0             00000000 00000000                             '..'     
06D0              RPOR8     0x0000        0             00000000 00000000                             '..'     
06D2              RPOR9     0x0000        0             00000000 00000000                             '..'     
06D4              RPOR10    0x0000        0             00000000 00000000                             '..'     
06D6              RPOR11    0x0000        0             00000000 00000000                             '..'     
06D8              RPOR12    0x0000        0             00000000 00000000                             '..'     
06DA              RPOR13    0x0000        0             00000000 00000000                             '..'     
06DC              RPOR14    0x0000        0             00000000 00000000                             '..'     
06DE              RPOR15    0x0000        0             00000000 00000000                             '..'     
0740              RCON      0x0003        3             00000000 00000011                             '..'     
0742              OSCCON    0x0000        0             00000000 00000000                             '..'     
0744              CLKDIV    0x0300        768           00000011 00000000                             '..'     
0748              OSCTUN    0x0000        0             00000000 00000000                             '..'     
074E              REFOCON   0x0000        0             00000000 00000000                             '..'     
0760              NVMCON    0x0000        0             00000000 00000000                             '..'     
0766              NVMKEY    0x0000        0             00000000 00000000                             '..'     
0770              PMD1      0x0000        0             00000000 00000000                             '..'     
0772              PMD2      0x0000        0             00000000 00000000                             '..'     
0774              PMD3      0x0000        0             00000000 00000000                             '..'     
0776              PMD4      0x0000        0             00000000 00000000                             '..'     
0778              PMD5      0x0000        0             00000000 00000000                             '..'     
077A              PMD6      0x0000        0             00000000 00000000                             '..'     
